timestep,reward
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
50,3.0
